,date,location,PM10,PM2_5,Ozon,CO,NO2,NO,Air temperature 2 m above ground daily mean,Air temperature 2 m above ground daily maximum,Air temperature 2 m above ground daily minimum,Air temperature at 5 cm above grass daily mean,Air temperature at 5 cm above grass daily maximum,Air temperature at 5 cm above grass daily minimum,Relative air humidity 2 m above ground daily mean,Vapour pressure 2 m above ground daily mean,Atmospheric pressure at barometric altitude (QFE) daily mean,Pressure reduced to sea level (QFF) daily mean,Geopotential height of the 850 hPA level daily mean,Geopotential height of the 700 hPA level daily mean,Pressure reduced to sea level according to standard atmosphere (QNH) daily mean,Wind speed scalar daily mean in m/s,Gust peak (one second) daily maximum in m/s,Wind speed scalar daily mean in km/h,Gust peak (one second) daily maximum in km/h,Gust peak (three seconds) daily maximum in m/s,Gust peak (three seconds) daily maximum in km/h,Foehn index daily value,Precipitation daily total 6 UTC - 6 UTC following day,Precipitation daily total 0 UTC - 0 UTC,Snow depth (automatic measurement) morning measurement at 6 UTC,Global radiation daily mean,Longwave incoming radiation daily mean,Sunshine duration daily total,Sunshine duration in relation to absolute daily total,Reference evaporation from FAO daily total,Cooling Degree Day (CDD),Wind direction daily mean,Heating degrees (HGT12/20),Heating degrees (ATD12/12),"Hydrologic registration (hydrologic balance, R-ETS) daily total",stadt,Ozon_missing,CO_missing,NO_missing,year,month,day,weekday,hour,features,scaledFeatures,cluster,distance_to_center,PM10_3hr_avg
0,2020-01-02,Zürich,16.21,18.43,0.0,21.11,18.87,0.0,-1.2,-0.3,-2.1,-0.6,1.3,-1.6,94.6,5.3,963.6,1032.8,,,1029.6,1.0,3.8,3.6,13.7,3.6,13.0,0.0,0.0,0.0,,25,303,0,0,0.2,0.0,203,21.2,13.2,0.0,0,1,0,1,2020,1,2,5,0,"[16.21,18.43,0.0,21.11,18.87,0.0,1.0,0.0,1.0,2020.0,1.0,2.0,5.0,0.0]","[0.7821901476482623,1.0637332452112878,-0.9537392522076718,0.10662930640777186,-0.16412363443663278,-0.6467992883685725,1.0076983318480472,-1.0093859238780445,1.0076983318480472,-1.417283853928607,-1.602990107194878,-1.5645767108656645,0.4982944848043624,0.0]",1,3.072988365099377,16.21
1,2020-01-02,St. Gallen,17.46,17.42,23.51,0.0,42.05,52.41,-1.9,2.7,-5.6,-4.0,3.5,-8.5,89.6,4.7,937.1,,1545.7,,1028.1,0.6,4.2,2.2,15.1,4.1,14.8,0.0,0.0,0.0,0.0,67,,344,95,0.0,0.0,180,21.9,13.9,-0.1,1,0,1,0,2020,1,2,5,0,"[17.46,17.42,23.51,0.0,42.05,52.41,0.0,1.0,0.0,2020.0,1.0,2.0,5.0,0.0]","[0.9696451286194063,0.9196188807490296,0.221033737070458,-0.9340934779704831,1.5366109673075012,4.9944791885897,-0.9920837478459748,0.9904250833190095,-0.9920837478459748,-1.417283853928607,-1.602990107194878,-1.5645767108656645,0.4982944848043624,0.0]",3,3.9300551513465534,16.835
2,2020-01-03,Zürich,16.91,20.09,0.0,26.5,26.71,0.0,3.0,6.2,-0.9,2.9,8.3,-2.1,87.3,6.6,961.7,1029.7,,,1027.7,1.8,7.7,6.5,27.7,7.4,26.6,0.0,0.9,0.9,,50,301,143,31,0.2,0.0,219,17.0,9.0,0.8,0,1,0,1,2020,1,3,6,0,"[16.91,20.09,0.0,26.5,26.71,0.0,1.0,0.0,1.0,2020.0,1.0,3.0,6.0,0.0]","[0.8871649369921029,1.3005944778918315,-0.9537392522076718,0.37235625135323824,0.41110325416017535,-0.6467992883685725,1.0076983318480472,-1.0093859238780445,1.0076983318480472,-1.417283853928607,-1.602990107194878,-1.450979381747133,0.9977030992561384,0.0]",1,3.2616798808905814,16.86
3,2020-01-03,St. Gallen,10.88,8.43,33.92,0.0,44.41,35.19,4.9,8.4,-0.3,2.3,6.3,-2.8,65.0,5.6,935.6,,1553.6,,1026.5,2.6,11.8,9.4,42.5,10.9,39.2,0.0,5.6,5.0,0.0,39,,48,13,0.8,0.0,225,15.1,7.1,4.9,1,0,1,0,2020,1,3,6,0,"[10.88,8.43,33.92,0.0,44.41,35.19,0.0,1.0,0.0,2020.0,1.0,3.0,6.0,0.0]","[-0.01711789121269597,-0.3631416504546374,0.7412118237733645,-0.9340934779704831,1.7097660000993975,3.1409623907797126,-0.9920837478459748,0.9904250833190095,-0.9920837478459748,-1.417283853928607,-1.602990107194878,-1.450979381747133,0.9977030992561384,0.0]",3,3.1385248181651124,15.083333333333336
4,2020-01-04,Zürich,6.8,8.8,0.0,36.66,13.54,0.0,4.9,6.9,2.1,4.2,6.3,0.6,80.7,7.0,965.8,1033.6,,,1032.0,2.5,10.3,9.0,37.1,10.0,36.0,0.0,0.5,0.5,,19,317,0,0,0.6,0.0,259,15.1,7.1,0.5,0,1,0,1,2020,1,4,7,0,"[6.8,8.8,0.0,36.66,13.54,0.0,1.0,0.0,1.0,2020.0,1.0,4.0,7.0,0.0]","[-0.6289709491025103,-0.31034727931499806,-0.9537392522076718,0.8732441475769743,-0.5551898737505344,-0.6467992883685725,1.0076983318480472,-1.0093859238780445,1.0076983318480472,-1.417283853928607,-1.602990107194878,-1.3373820526286013,1.4971117137079144,0.0]",1,3.0543304701436473,11.53
5,2020-01-04,St. Gallen,5.93,4.78,34.75,0.0,22.24,7.31,3.5,5.4,0.9,2.5,4.6,-0.1,87.4,6.9,939.6,,1583.1,,1030.9,3.2,11.8,11.5,42.5,11.4,41.0,0.0,2.3,2.9,0.0,6,,0,0,0.5,0.0,239,16.5,8.5,2.9,1,0,1,0,2020,1,4,7,0,"[5.93,4.78,34.75,0.0,22.24,7.31,0.0,1.0,0.0,2020.0,1.0,4.0,7.0,0.0]","[-0.7594396158584266,-0.8839509873727001,0.782686157295306,-0.9340934779704831,0.08313588272806643,0.14003043242068486,-0.9920837478459748,0.9904250833190095,-0.9920837478459748,-1.417283853928607,-1.602990107194878,-1.3373820526286013,1.4971117137079144,0.0]",2,2.920053086427243,7.87
6,2020-01-05,Zürich,8.88,11.52,0.0,35.72,21.15,0.0,1.6,5.8,-1.0,0.6,8.2,-2.7,82.7,5.6,967.8,1036.5,,,1034.0,1.6,6.6,5.8,23.8,6.2,22.3,0.0,0.0,0.0,,74,248,460,100,0.2,0.0,54,18.4,10.4,-0.2,0,1,0,1,2020,1,5,1,0,"[8.88,11.52,0.0,35.72,21.15,0.0,1.0,0.0,1.0,2020.0,1.0,5.0,1.0,0.0]","[-0.31704586076652647,0.07776269230613347,-0.9537392522076718,0.8269021571783216,0.003161736226724499,-0.6467992883685725,1.0076983318480472,-1.0093859238780445,1.0076983318480472,-1.417283853928607,-1.602990107194878,-1.2237847235100696,-1.4993399730027417,0.0]",1,2.932782811343109,7.203333333333333
7,2020-01-05,St. Gallen,9.94,8.3,31.14,0.0,31.87,9.25,0.6,2.5,-1.2,-2.2,4.9,-5.6,81.7,5.2,941.9,,1593.5,,1033.3,1.5,6.2,5.4,22.3,5.8,20.9,0.0,0.0,0.0,0.0,69,,364,98,0.2,0.0,113,19.4,11.4,-0.2,1,0,1,0,2020,1,5,1,0,"[9.94,8.3,31.14,0.0,31.87,9.25,0.0,1.0,0.0,2020.0,1.0,5.0,1.0,0.0]","[-0.1580840369029965,-0.3816910240982943,0.6022977910131262,-0.9340934779704831,0.7896964614509318,0.34884707514724567,-0.9920837478459748,0.9904250833190095,-0.9920837478459748,-1.417283853928607,-1.602990107194878,-1.2237847235100696,-1.4993399730027417,0.0]",0,2.696539116095223,8.25
8,2020-01-06,Zürich,19.23,23.17,0.0,28.78,50.18,0.0,0.1,4.2,-2.1,-0.5,7.2,-3.6,91.8,5.6,962.8,1031.6,,,1028.8,0.8,3.5,2.9,12.6,3.4,12.2,0.0,0.0,0.0,,55,262,257,56,0.1,0.0,207,19.9,11.9,-0.1,0,1,0,1,2020,1,6,2,0,"[19.23,23.17,0.0,28.78,50.18,0.0,1.0,0.0,1.0,2020.0,1.0,6.0,2.0,0.0]","[1.2350813816745463,1.7400719457569367,-0.9537392522076718,0.48476022806486413,2.133115381120263,-0.6467992883685725,1.0076983318480472,-1.0093859238780445,1.0076983318480472,-1.417283853928607,-1.602990107194878,-1.1101873943915381,-0.9999313585509657,0.0]",1,4.151431143685127,12.683333333333332
9,2020-01-06,St. Gallen,14.15,11.0,33.1,0.0,54.42,48.0,2.3,8.9,-1.9,-1.9,6.4,-6.5,62.8,4.4,936.6,,1554.1,,1027.6,0.9,6.8,3.2,24.5,6.6,23.8,0.0,0.0,0.0,0.0,73,,366,98,0.3,0.0,198,17.7,9.7,-0.4,1,0,1,0,2020,1,6,2,0,"[14.15,11.0,33.1,0.0,54.42,48.0,0.0,1.0,0.0,2020.0,1.0,6.0,2.0,0.0]","[0.47326433900781684,0.0035651977315054187,0.7002371810167474,-0.9340934779704831,2.4442074739328223,4.51979805744324,-0.9920837478459748,0.9904250833190095,-0.9920837478459748,-1.417283853928607,-1.602990107194878,-1.1101873943915381,-0.9999313585509657,0.0]",3,3.6175976181789764,14.44
