Startzeit;Endzeit;PM10;PM2.5;Ozon;CO;NO2;NO
"02.01.2020 00:00";"03.01.2020 00:00";17.46;17.42;23.51;;42.05;52.41
"03.01.2020 00:00";"04.01.2020 00:00";10.88;8.43;33.92;;44.41;35.19
"04.01.2020 00:00";"05.01.2020 00:00";5.93;4.78;34.75;;22.24;7.31
"05.01.2020 00:00";"06.01.2020 00:00";9.94;8.30;31.14;;31.87;9.25
"06.01.2020 00:00";"07.01.2020 00:00";14.15;11.00;33.10;;54.42;48.00
"07.01.2020 00:00";"08.01.2020 00:00";10.47;8.20;36.56;;46.65;23.44
"08.01.2020 00:00";"09.01.2020 00:00";17.48;10.19;38.30;;64.53;59.71
"09.01.2020 00:00";"10.01.2020 00:00";16.27;7.68;45.23;;72.28;56.35
"10.01.2020 00:00";"11.01.2020 00:00";9.33;5.29;42.63;;36.07;20.06
"11.01.2020 00:00";"12.01.2020 00:00";9.07;7.84;32.03;;27.96;11.18
"12.01.2020 00:00";"13.01.2020 00:00";13.86;11.73;28.89;;38.15;16.93
"13.01.2020 00:00";"14.01.2020 00:00";13.61;8.44;39.78;;63.12;49.44
"14.01.2020 00:00";"15.01.2020 00:00";11.27;6.77;43.10;;63.99;46.94
"15.01.2020 00:00";"16.01.2020 00:00";10.66;6.50;45.78;;55.66;43.03
"16.01.2020 00:00";"17.01.2020 00:00";11.92;7.30;44.49;;61.60;36.40
"17.01.2020 00:00";"18.01.2020 00:00";12.09;7.18;43.72;;52.13;27.43
"18.01.2020 00:00";"19.01.2020 00:00";6.77;5.11;37.05;;21.63;6.93
"19.01.2020 00:00";"20.01.2020 00:00";9.75;7.92;35.12;;20.78;8.48
"20.01.2020 00:00";"21.01.2020 00:00";16.30;10.56;36.47;;42.18;23.36
"21.01.2020 00:00";"22.01.2020 00:00";21.01;18.53;29.97;;38.71;24.96
"22.01.2020 00:00";"23.01.2020 00:00";25.17;23.29;27.86;;47.68;36.80
"23.01.2020 00:00";"24.01.2020 00:00";18.86;17.54;26.11;;45.70;30.56
"24.01.2020 00:00";"25.01.2020 00:00";27.06;20.21;43.25;;79.61;153.79
"25.01.2020 00:00";"26.01.2020 00:00";22.71;16.67;33.28;;56.63;43.99
"26.01.2020 00:00";"27.01.2020 00:00";22.91;13.94;31.38;;47.33;24.59
"27.01.2020 00:00";"28.01.2020 00:00";17.31;9.59;39.27;;37.80;25.18
"28.01.2020 00:00";"29.01.2020 00:00";6.30;4.11;42.12;;20.35;8.51
"29.01.2020 00:00";"30.01.2020 00:00";4.80;3.46;42.63;;23.15;10.48
"30.01.2020 00:00";"31.01.2020 00:00";8.53;4.73;42.35;;35.01;16.34
"31.01.2020 00:00";"01.02.2020 00:00";6.64;4.01;35.89;;27.44;12.36
"01.02.2020 00:00";"02.02.2020 00:00";5.98;4.19;35.18;;17.94;7.78
"02.02.2020 00:00";"03.02.2020 00:00";4.29;3.09;35.75;;8.51;3.26
"03.02.2020 00:00";"04.02.2020 00:00";17.61;7.81;33.38;;19.19;8.96
"04.02.2020 00:00";"05.02.2020 00:00";13.16;6.04;42.85;;29.74;16.38
"05.02.2020 00:00";"06.02.2020 00:00";8.64;6.12;40.17;;33.73;13.52
"06.02.2020 00:00";"07.02.2020 00:00";13.51;8.06;38.54;;52.19;25.58
"07.02.2020 00:00";"08.02.2020 00:00";16.42;11.04;39.59;;61.16;38.04
"08.02.2020 00:00";"09.02.2020 00:00";13.25;9.25;42.13;;59.92;28.37
"09.02.2020 00:00";"10.02.2020 00:00";8.64;5.70;45.55;;36.56;12.45
"10.02.2020 00:00";"11.02.2020 00:00";8.80;4.95;42.33;;18.25;8.51
"11.02.2020 00:00";"12.02.2020 00:00";6.41;4.44;43.19;;18.88;9.40
"12.02.2020 00:00";"13.02.2020 00:00";6.94;4.17;42.93;;21.76;10.91
"13.02.2020 00:00";"14.02.2020 00:00";8.27;4.34;45.38;;36.45;17.45
"14.02.2020 00:00";"15.02.2020 00:00";6.26;4.36;42.11;;30.68;11.58
"15.02.2020 00:00";"16.02.2020 00:00";9.45;7.24;33.28;;40.91;15.03
"16.02.2020 00:00";"17.02.2020 00:00";7.87;5.11;39.90;;44.30;15.13
"17.02.2020 00:00";"18.02.2020 00:00";6.95;4.21;43.49;;23.10;9.60
"18.02.2020 00:00";"19.02.2020 00:00";7.22;4.25;41.74;;27.43;11.10
"19.02.2020 00:00";"20.02.2020 00:00";6.36;3.94;42.39;;22.54;10.75
"20.02.2020 00:00";"21.02.2020 00:00";7.60;4.48;44.63;;34.79;16.33
"21.02.2020 00:00";"22.02.2020 00:00";7.53;4.79;43.49;;29.18;12.47
"22.02.2020 00:00";"23.02.2020 00:00";7.91;5.34;40.71;;33.91;13.10
"23.02.2020 00:00";"24.02.2020 00:00";6.15;4.00;40.68;;12.40;4.13
"24.02.2020 00:00";"25.02.2020 00:00";7.30;4.37;38.08;;26.05;14.74
"25.02.2020 00:00";"26.02.2020 00:00";7.54;4.53;42.66;;23.52;12.28
"26.02.2020 00:00";"27.02.2020 00:00";5.66;3.65;45.19;;22.67;10.50
"27.02.2020 00:00";"28.02.2020 00:00";6.94;4.04;46.21;;25.97;11.38
"28.02.2020 00:00";"29.02.2020 00:00";8.75;5.88;46.36;;32.90;13.99
"29.02.2020 00:00";"01.03.2020 00:00";15.10;8.66;;;;
"01.03.2020 00:00";"02.03.2020 00:00";4.82;3.39;45.13;;14.94;4.84
"02.03.2020 00:00";"03.03.2020 00:00";7.22;4.21;42.63;;35.95;18.08
"03.03.2020 00:00";"04.03.2020 00:00";7.31;4.84;43.35;;30.21;11.44
"04.03.2020 00:00";"05.03.2020 00:00";9.31;6.13;45.38;;33.44;12.72
"05.03.2020 00:00";"06.03.2020 00:00";7.86;5.80;44.55;;42.82;16.32
"06.03.2020 00:00";"07.03.2020 00:00";5.39;3.64;45.48;;19.79;9.50
"07.03.2020 00:00";"08.03.2020 00:00";9.15;7.99;43.33;;26.76;7.21
"08.03.2020 00:00";"09.03.2020 00:00";8.95;6.72;43.00;;30.49;6.60
"09.03.2020 00:00";"10.03.2020 00:00";5.62;4.16;43.89;;26.64;11.11
"10.03.2020 00:00";"11.03.2020 00:00";4.82;3.23;41.65;;22.42;7.84
"11.03.2020 00:00";"12.03.2020 00:00";6.09;3.41;32.80;;17.55;9.60
"12.03.2020 00:00";"13.03.2020 00:00";9.27;4.98;36.33;;26.37;12.70
"13.03.2020 00:00";"14.03.2020 00:00";8.21;5.36;43.39;;25.94;9.89
"14.03.2020 00:00";"15.03.2020 00:00";9.19;6.95;38.22;;26.20;7.57
"15.03.2020 00:00";"16.03.2020 00:00";9.04;7.17;39.26;;27.87;5.31
"16.03.2020 00:00";"17.03.2020 00:00";14.71;10.09;43.88;;45.39;23.49
"17.03.2020 00:00";"18.03.2020 00:00";18.95;13.07;44.06;;42.77;17.47
"18.03.2020 00:00";"19.03.2020 00:00";19.35;13.91;43.10;;40.34;19.77
"19.03.2020 00:00";"20.03.2020 00:00";23.47;16.45;45.51;;43.17;15.71
"20.03.2020 00:00";"21.03.2020 00:00";24.96;16.05;47.93;;37.82;14.99
"21.03.2020 00:00";"22.03.2020 00:00";10.65;9.22;28.57;;15.00;5.81
"22.03.2020 00:00";"23.03.2020 00:00";9.06;7.68;32.02;;8.13;2.39
"23.03.2020 00:00";"24.03.2020 00:00";12.01;7.90;42.33;;18.93;10.52
"24.03.2020 00:00";"25.03.2020 00:00";17.77;12.72;43.69;;28.36;12.71
"25.03.2020 00:00";"26.03.2020 00:00";23.74;17.87;46.52;;29.43;12.22
"26.03.2020 00:00";"27.03.2020 00:00";24.19;17.90;40.24;;35.38;15.62
"27.03.2020 00:00";"28.03.2020 00:00";29.18;21.73;39.77;;40.39;13.23
"28.03.2020 00:00";"29.03.2020 00:00";42.29;26.85;42.49;;34.11;7.69
"29.03.2020 00:00";"30.03.2020 00:00";26.85;20.02;39.62;;21.52;2.96
"30.03.2020 00:00";"31.03.2020 00:00";14.29;8.40;42.38;;38.16;23.47
"31.03.2020 00:00";"01.04.2020 00:00";17.36;10.23;47.08;;40.39;18.56
"01.04.2020 00:00";"02.04.2020 00:00";21.04;13.17;47.85;;34.73;12.09
"02.04.2020 00:00";"03.04.2020 00:00";29.83;18.61;53.74;;48.40;21.94
"03.04.2020 00:00";"04.04.2020 00:00";27.12;17.33;56.16;;34.19;8.06
"04.04.2020 00:00";"05.04.2020 00:00";21.04;16.01;48.42;;29.38;6.34
"05.04.2020 00:00";"06.04.2020 00:00";17.03;14.32;47.42;;25.25;3.21
"06.04.2020 00:00";"07.04.2020 00:00";28.76;13.53;54.84;;40.91;15.90
"07.04.2020 00:00";"08.04.2020 00:00";34.73;15.14;60.83;;48.58;19.55
"08.04.2020 00:00";"09.04.2020 00:00";32.43;14.90;60.64;;43.50;15.43
"09.04.2020 00:00";"10.04.2020 00:00";33.13;17.20;62.04;;41.74;11.92
"10.04.2020 00:00";"11.04.2020 00:00";23.46;15.02;54.90;;22.64;2.51
"11.04.2020 00:00";"12.04.2020 00:00";21.92;13.93;54.72;;28.18;5.82
"12.04.2020 00:00";"13.04.2020 00:00";17.33;12.42;52.13;;21.69;2.37
"13.04.2020 00:00";"14.04.2020 00:00";14.13;10.17;51.51;;11.68;1.97
"14.04.2020 00:00";"15.04.2020 00:00";22.54;9.33;44.92;;20.80;12.30
"15.04.2020 00:00";"16.04.2020 00:00";19.62;10.38;47.31;;34.70;12.30
"16.04.2020 00:00";"17.04.2020 00:00";22.94;11.38;52.28;;40.49;16.17
"17.04.2020 00:00";"18.04.2020 00:00";26.37;11.15;55.62;;32.71;10.97
"18.04.2020 00:00";"19.04.2020 00:00";18.29;9.43;51.20;;20.31;3.84
"19.04.2020 00:00";"20.04.2020 00:00";11.12;6.82;42.43;;15.07;3.36
"20.04.2020 00:00";"21.04.2020 00:00";22.83;11.09;44.69;;27.32;11.78
"21.04.2020 00:00";"22.04.2020 00:00";25.87;10.64;48.27;;31.34;13.40
"22.04.2020 00:00";"23.04.2020 00:00";23.63;10.00;51.04;;30.22;9.88
"23.04.2020 00:00";"24.04.2020 00:00";25.08;11.67;54.70;;36.62;9.82
"24.04.2020 00:00";"25.04.2020 00:00";20.58;10.67;62.70;;36.46;12.16
"25.04.2020 00:00";"26.04.2020 00:00";16.18;10.36;52.53;;22.54;3.37
"26.04.2020 00:00";"27.04.2020 00:00";12.78;8.99;48.07;;14.62;2.37
"27.04.2020 00:00";"28.04.2020 00:00";13.35;7.36;49.57;;28.60;9.61
"28.04.2020 00:00";"29.04.2020 00:00";10.07;5.96;42.37;;25.66;8.16
"29.04.2020 00:00";"30.04.2020 00:00";8.03;3.91;43.79;;20.72;6.46
"30.04.2020 00:00";"01.05.2020 00:00";8.93;4.12;37.47;;28.57;9.83
"01.05.2020 00:00";"02.05.2020 00:00";11.52;4.64;38.76;;21.48;7.27
"02.05.2020 00:00";"03.05.2020 00:00";5.68;3.65;38.23;;13.69;3.78
"03.05.2020 00:00";"04.05.2020 00:00";7.01;4.96;37.59;;14.45;2.71
"04.05.2020 00:00";"05.05.2020 00:00";11.74;4.95;43.29;;26.94;10.01
"05.05.2020 00:00";"06.05.2020 00:00";14.74;9.13;30.78;;30.75;20.01
"06.05.2020 00:00";"07.05.2020 00:00";25.60;12.16;42.00;;28.07;12.30
"07.05.2020 00:00";"08.05.2020 00:00";18.72;9.01;49.03;;34.61;13.50
"08.05.2020 00:00";"09.05.2020 00:00";25.30;10.67;55.23;;37.75;15.99
"09.05.2020 00:00";"10.05.2020 00:00";16.03;10.33;52.08;;20.23;4.23
"10.05.2020 00:00";"11.05.2020 00:00";10.81;7.58;43.23;;15.12;3.11
"11.05.2020 00:00";"12.05.2020 00:00";11.67;5.82;39.63;;33.29;15.99
"12.05.2020 00:00";"13.05.2020 00:00";16.63;7.61;35.41;;29.64;20.01
"13.05.2020 00:00";"14.05.2020 00:00";19.74;12.59;26.09;;33.91;28.41
"14.05.2020 00:00";"15.05.2020 00:00";17.91;9.65;38.17;;39.52;24.63
"15.05.2020 00:00";"16.05.2020 00:00";20.74;12.84;37.45;;38.19;24.02
"16.05.2020 00:00";"17.05.2020 00:00";15.66;12.27;34.86;;21.01;7.11
"17.05.2020 00:00";"18.05.2020 00:00";12.45;9.54;50.07;;17.83;2.94
"18.05.2020 00:00";"19.05.2020 00:00";16.84;10.16;58.25;;32.14;10.03
"19.05.2020 00:00";"20.05.2020 00:00";19.25;9.63;61.73;;35.69;12.05
"20.05.2020 00:00";"21.05.2020 00:00";18.21;7.46;49.02;;29.90;10.81
"21.05.2020 00:00";"22.05.2020 00:00";10.62;7.72;46.20;;16.01;3.34
"22.05.2020 00:00";"23.05.2020 00:00";13.83;7.94;50.04;;30.81;10.49
