"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2024-01-01T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",1.06,"bereinigt"
"2024-01-01T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.19,"bereinigt"
"2024-01-01T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",6.23,"bereinigt"
"2024-01-01T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",1.55,"bereinigt"
"2024-01-01T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",9.53,"bereinigt"
"2024-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",56.41,"bereinigt"
"2024-01-01T00:00+0100","Zch_Stampfenbachstrasse","PM10","d1","µg/m3",7.88,"bereinigt"
"2024-01-01T00:00+0100","Zch_Stampfenbachstrasse","PM2.5","d1","µg/m3",5.28,"bereinigt"
"2024-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",67.29,"bereinigt"
"2024-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"2024-01-01T00:00+0100","Zch_Stampfenbachstrasse","PN","d1","1/cm3",5988.54,"bereinigt"
"2024-01-01T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",9.89,"bereinigt"
"2024-01-01T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",3.63,"bereinigt"
"2024-01-01T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",13.36,"bereinigt"
"2024-01-01T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",55.08,"bereinigt"
"2024-01-01T00:00+0100","Zch_Schimmelstrasse","PM10","d1","µg/m3",6.61,"bereinigt"
"2024-01-01T00:00+0100","Zch_Schimmelstrasse","PM2.5","d1","µg/m3",4.53,"bereinigt"
"2024-01-01T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",66.64,"bereinigt"
"2024-01-01T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"2024-01-01T00:00+0100","Zch_Schimmelstrasse","PN","d1","1/cm3",6522.78,"bereinigt"
"2024-01-01T00:00+0100","Zch_Rosengartenstrasse","NOx","d1","ppb",21.67,"bereinigt"
"2024-01-01T00:00+0100","Zch_Rosengartenstrasse","NO","d1","µg/m3",10.89,"bereinigt"
"2024-01-01T00:00+0100","Zch_Rosengartenstrasse","NO2","d1","µg/m3",24.75,"bereinigt"
"2024-01-01T00:00+0100","Zch_Rosengartenstrasse","O3","d1","µg/m3",40.86,"bereinigt"
"2024-01-01T00:00+0100","Zch_Rosengartenstrasse","PM10","d1","µg/m3",7.48,"bereinigt"
