date,location,PM10,PM2.5,Ozon,CO,NO2,NO,Air temperature 2 m above ground daily mean,Air temperature 2 m above ground daily maximum,Air temperature 2 m above ground daily minimum,Air temperature at 5 cm above grass daily mean,Air temperature at 5 cm above grass daily maximum,Air temperature at 5 cm above grass daily minimum,Relative air humidity 2 m above ground daily mean,Vapour pressure 2 m above ground daily mean,Atmospheric pressure at barometric altitude (QFE) daily mean,Pressure reduced to sea level (QFF) daily mean,Geopotential height of the 850 hPA level daily mean,Geopotential height of the 700 hPA level daily mean,Pressure reduced to sea level according to standard atmosphere (QNH) daily mean,Wind speed scalar daily mean in m/s,Gust peak (one second) daily maximum in m/s,Wind speed scalar daily mean in km/h,Gust peak (one second) daily maximum in km/h,Gust peak (three seconds) daily maximum in m/s,Gust peak (three seconds) daily maximum in km/h,Foehn index daily value,Precipitation daily total 6 UTC - 6 UTC following day,Precipitation daily total 0 UTC - 0 UTC,Snow depth (automatic measurement) morning measurement at 6 UTC,Global radiation daily mean,Longwave incoming radiation daily mean,Sunshine duration daily total,Sunshine duration in relation to absolute daily total,Reference evaporation from FAO daily total,Cooling Degree Day (CDD),Wind direction daily mean,Heating degrees (HGT12/20),Heating degrees (ATD12/12),"Hydrologic registration (hydrologic balance, R-ETS) daily total"
2020-01-02,Zürich,16.21,18.43,,21.11,18.87,,-1.2,-0.3,-2.1,-0.6,1.3,-1.6,94.6,5.3,963.6,1032.8,,,1029.6,1.0,3.8,3.6,13.7,3.6,13.0,0.0,0.0,0.0,,25,303,0,0,0.2,0.0,203,21.2,13.2,0.0
2020-01-03,Zürich,16.91,20.09,,26.5,26.71,,3.0,6.2,-0.9,2.9,8.3,-2.1,87.3,6.6,961.7,1029.7,,,1027.7,1.8,7.7,6.5,27.7,7.4,26.6,0.0,0.9,0.9,,50,301,143,31,0.2,0.0,219,17.0,9.0,0.8
2020-01-04,Zürich,6.8,8.8,,36.66,13.54,,4.9,6.9,2.1,4.2,6.3,0.6,80.7,7.0,965.8,1033.6,,,1032.0,2.5,10.3,9.0,37.1,10.0,36.0,0.0,0.5,0.5,,19,317,0,0,0.6,0.0,259,15.1,7.1,0.5
2020-01-05,Zürich,8.88,11.52,,35.72,21.15,,1.6,5.8,-1.0,0.6,8.2,-2.7,82.7,5.6,967.8,1036.5,,,1034.0,1.6,6.6,5.8,23.8,6.2,22.3,0.0,0.0,0.0,,74,248,460,100,0.2,0.0,54,18.4,10.4,-0.2
2020-01-06,Zürich,19.23,23.17,,28.78,50.18,,0.1,4.2,-2.1,-0.5,7.2,-3.6,91.8,5.6,962.8,1031.6,,,1028.8,0.8,3.5,2.9,12.6,3.4,12.2,0.0,0.0,0.0,,55,262,257,56,0.1,0.0,207,19.9,11.9,-0.1
2020-01-07,Zürich,14.42,18.19,,31.55,48.55,,3.0,5.5,-0.8,2.1,6.8,-2.9,83.9,6.4,963.7,1031.8,,,1029.7,1.1,6.8,4.0,24.5,6.6,23.8,0.0,0.0,0.0,,32,291,76,16,0.3,0.0,243,17.0,9.0,-0.1
2020-01-08,Zürich,16.96,22.15,,30.09,66.7,,3.1,7.5,-1.1,2.3,10.4,-3.3,81.6,6.1,963.8,1031.9,,,1029.8,0.6,3.6,2.2,13.0,3.5,12.6,0.0,0.0,0.0,,60,284,268,58,0.2,0.0,214,16.9,8.9,-0.2
2020-01-09,Zürich,10.26,16.46,,35.4,46.25,,6.2,10.6,1.8,4.4,12.4,-0.3,52.9,4.8,956.8,1023.6,,,1022.5,1.5,14.4,5.4,51.8,13.9,50.0,0.0,0.0,0.0,,70,274,438,94,0.6,0.0,211,13.8,5.8,-0.5
2020-01-10,Zürich,4.99,7.11,,40.12,9.08,,7.6,10.3,5.0,7.0,12.4,3.1,65.2,6.8,958.2,1024.7,,,1023.9,4.2,15.3,15.1,55.1,14.9,53.6,0.0,0.0,0.0,,57,303,240,51,1.2,0.0,242,12.4,4.4,-0.2
2020-01-11,Zürich,9.08,12.15,,35.56,28.76,,3.9,6.7,0.1,3.2,10.0,-1.9,86.1,6.9,965.2,1033.2,,,1031.3,1.4,5.5,5.0,19.8,5.2,18.7,0.0,0.0,0.0,,46,283,82,17,0.3,0.0,38,16.1,8.1,-0.1
2020-01-12,Zürich,18.29,21.64,,26.52,30.34,,1.7,5.8,-0.7,1.1,9.0,-2.3,87.8,6.0,962.1,1030.5,,,1028.1,1.0,4.8,3.6,17.3,4.7,16.9,0.0,0.0,0.0,,74,262,325,69,0.2,0.0,225,18.3,10.3,-0.1
2020-01-13,Zürich,17.77,24.23,,32.79,82.44,,1.4,4.9,-0.9,0.4,8.4,-2.8,81.5,5.5,956.6,1024.6,,,1022.2,0.5,3.1,1.8,11.2,3.0,10.8,0.0,0.0,0.0,,55,261,139,30,0.2,0.0,225,18.6,10.6,-0.1
2020-01-14,Zürich,10.57,15.7,,36.08,40.19,,4.3,9.4,-0.5,2.5,12.3,-2.9,62.9,5.1,953.4,1020.5,,,1018.9,1.8,8.8,6.5,31.7,8.5,30.6,0.0,0.0,0.0,,79,260,431,91,0.6,0.0,208,15.7,7.7,-0.4
2020-01-15,Zürich,7.87,12.64,,39.47,31.24,,7.0,11.6,1.7,5.3,14.4,-1.1,56.9,5.6,956.6,1023.1,,,1022.2,2.5,12.7,9.0,45.7,11.6,41.8,0.0,0.0,0.0,,81,270,433,91,1.0,0.0,208,13.0,5.0,-0.4
2020-01-16,Zürich,10.12,16.43,,38.43,55.71,,6.2,10.7,2.1,4.8,13.5,-0.8,66.3,6.2,961.2,1028.3,,,1027.1,1.0,5.6,3.6,20.2,5.5,19.8,0.0,0.0,0.0,,80,275,478,100,0.4,0.0,180,13.8,5.8,-0.3
2020-01-17,Zürich,9.36,13.59,,35.58,38.96,,4.6,8.3,1.2,3.5,11.7,-1.3,81.4,6.9,956.9,1024.1,,,1022.6,1.9,11.8,6.8,42.5,11.1,40.0,0.0,4.0,3.9,,38,300,102,21,0.6,0.0,225,15.4,7.4,3.8
2020-01-18,Zürich,5.85,8.01,,38.37,12.73,,3.4,6.0,0.0,2.9,8.6,-1.5,78.5,6.1,961.3,1029.1,,,1027.2,1.9,10.2,6.8,36.7,9.7,34.9,0.0,0.0,0.1,,58,290,178,37,0.4,0.0,252,16.6,8.6,0.0
2020-01-19,Zürich,7.79,9.73,,36.34,13.8,,0.5,3.6,-1.1,0.1,8.2,-3.3,80.4,5.1,967.5,1036.6,,,1033.8,2.1,8.3,7.6,29.9,8.2,29.5,0.0,0.0,0.0,,76,263,233,49,0.4,0.0,41,19.5,11.5,-0.1
2020-01-20,Zürich,13.41,17.56,,35.64,19.5,,-0.4,2.7,-2.4,-1.0,5.4,-4.2,78.5,4.6,973.4,1043.1,,,1039.9,3.5,12.0,12.6,43.2,11.7,42.1,0.0,0.0,0.0,,86,232,384,80,0.6,0.0,54,20.4,12.4,-0.2
2020-01-21,Zürich,20.83,27.38,,33.47,53.78,,-1.8,1.7,-4.0,-2.6,4.4,-6.0,83.6,4.4,971.2,1041.2,,,1037.7,1.7,6.7,6.1,24.1,6.5,23.4,0.0,0.0,0.0,,79,231,423,87,0.3,0.0,50,21.8,13.8,-0.2
2020-01-22,Zürich,30.37,37.18,,28.21,58.65,,-2.8,-1.4,-4.2,-2.4,0.8,-5.1,94.5,4.7,966.7,1036.6,,,1032.9,1.3,5.7,4.7,20.5,5.6,20.2,0.0,0.0,0.0,,34,285,0,0,0.2,0.0,63,22.8,14.8,0.0
2020-01-25,Zürich,31.88,39.21,,28.62,99.52,,0.1,4.1,-2.1,0.1,6.5,-3.1,94.7,5.8,955.9,1024.3,,,1021.6,0.5,3.7,1.8,13.3,3.6,13.0,0.0,0.0,0.0,,66,277,219,44,0.2,0.0,207,19.9,11.9,0.0
2020-01-26,Zürich,22.41,29.85,,27.3,69.71,,2.3,6.2,-1.2,2.6,8.8,-0.7,88.7,6.3,954.1,1021.7,,,1019.6,0.8,5.0,2.9,18.0,4.9,17.6,0.0,0.7,0.6,,74,298,260,52,0.3,0.0,225,17.7,9.7,0.5
2020-01-27,Zürich,14.83,25.74,,33.38,25.69,,5.5,8.0,2.9,5.0,10.4,0.7,79.3,7.1,949.0,1015.4,,,1014.2,2.3,16.1,8.3,58.0,14.2,51.1,0.0,4.4,1.3,,65,304,255,51,0.6,0.0,221,14.5,6.5,1.2
2020-01-28,Zürich,4.61,6.91,,41.47,7.74,,4.1,6.1,1.3,3.3,5.7,0.4,79.6,6.5,941.4,1007.7,,,1006.2,7.2,34.8,25.9,125.3,29.7,106.9,0.0,5.6,8.4,,26,310,6,1,0.9,0.0,232,15.9,7.9,8.4
2020-01-29,Zürich,3.64,4.69,,42.99,13.07,,3.2,4.8,1.3,2.5,5.0,0.7,85.8,6.6,948.9,1015.9,,,1014.1,5.2,23.5,18.7,84.6,22.5,81.0,0.0,1.3,1.7,,21,309,2,0,0.6,0.0,243,16.8,8.8,1.7
2020-01-30,Zürich,5.68,8.37,,37.37,12.66,,4.9,8.1,1.6,4.9,10.6,0.0,79.9,6.9,951.6,1018.3,,,1017.0,2.3,8.4,8.3,30.2,8.2,29.5,0.0,5.6,5.5,,85,296,316,63,0.6,0.0,208,15.1,7.1,5.3
2020-01-31,Zürich,6.51,9.54,,33.7,23.86,,9.3,13.9,5.2,9.1,16.4,5.2,83.7,9.8,952.0,1017.7,,,1017.4,2.2,13.3,7.9,47.9,13.2,47.5,0.0,0.0,0.1,,74,333,259,51,0.8,0.0,221,10.7,2.7,0.0
2020-02-01,Zürich,5.33,7.15,,27.72,7.37,,9.4,12.7,4.9,8.5,13.3,2.5,79.2,9.2,949.8,1015.3,,,1015.1,4.8,27.7,17.3,99.7,26.5,95.4,0.0,9.1,9.1,,52,317,148,29,1.1,0.0,238,10.6,2.6,9.0
2020-02-02,Zürich,3.31,4.3,,34.68,3.65,,10.7,13.2,8.4,9.8,12.0,8.0,81.1,10.5,952.5,1017.9,,,1017.9,6.9,21.6,24.8,77.8,20.6,74.2,0.0,6.8,6.3,,19,350,0,0,1.3,0.0,234,9.3,1.3,6.3
2020-02-03,Zürich,8.5,22.33,,31.1,4.92,,12.6,15.5,10.5,11.4,14.3,9.9,69.9,10.0,952.8,1017.8,,,1018.3,9.0,27.7,32.4,99.7,27.4,98.6,0.0,13.7,9.5,,18,354,0,0,2.5,0.0,238,0.0,0.0,9.4
2020-02-04,Zürich,5.96,14.32,,36.74,11.32,,4.3,16.0,0.9,4.1,14.9,0.3,78.0,6.3,951.8,1018.8,,,1017.2,6.4,33.9,23.0,122.0,32.5,117.0,0.0,0.2,4.9,,46,314,48,9,2.7,0.0,252,15.7,7.7,4.8
